"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,1,0,0,0,1,1,0,0
"2",1,1,0,0,0,1,1,1,0,1
"3",0,0,1,1,0,1,0,1,0,0
"4",0,1,0,1,1,1,1,0,0,0
"5",1,1,0,1,0,1,1,1,0,1
"6",0,0,1,1,1,1,0,1,1,1
"7",0,1,1,0,1,0,1,1,1,1
"8",0,1,1,1,0,1,0,0,1,1
"9",0,0,0,1,1,0,0,1,1,0
"10",0,0,0,1,1,0,0,0,0,1
"11",1,0,1,0,0,1,1,1,1,1
"12",0,0,0,0,0,1,1,0,0,1
"13",1,0,0,0,0,0,1,1,0,0
"14",0,1,1,1,0,1,0,1,1,1
"15",1,0,0,0,1,1,0,1,0,0
"16",0,0,1,1,1,1,0,1,0,0
"17",0,1,0,1,0,1,1,0,0,0
"18",1,0,1,1,1,0,0,0,0,1
"19",0,0,1,1,0,1,0,1,1,1
"20",1,0,0,0,1,0,1,0,1,1
"21",1,0,0,0,1,1,1,1,1,1
"22",0,0,1,0,1,0,0,1,1,0
"23",0,1,0,0,0,0,0,0,0,1
"24",1,0,0,1,1,0,0,1,0,1
"25",1,1,0,1,1,0,1,1,1,1
"26",0,1,1,1,0,0,1,1,0,1
"27",0,0,1,0,1,1,1,1,0,1
"28",0,1,1,0,1,0,1,1,0,0
"29",0,0,0,0,0,1,1,1,0,1
"30",0,0,1,0,1,0,0,1,1,0
"31",0,1,1,0,0,0,1,1,0,1
"32",0,1,1,0,0,0,1,0,1,1
"33",1,0,0,0,1,1,1,1,0,1
"34",0,0,0,0,1,1,0,0,1,0
"35",0,0,0,1,1,0,0,1,0,0
"36",0,0,1,1,0,1,1,1,0,1
"37",0,1,1,1,0,1,1,0,1,0
"38",0,1,0,1,1,0,1,0,1,0
"39",1,0,1,1,0,0,0,1,1,0
"40",1,1,0,0,1,1,1,0,0,1
"41",0,1,1,1,0,1,1,1,1,1
"42",1,1,0,1,0,1,1,0,0,1
"43",1,0,0,1,1,0,1,1,1,0
"44",1,1,1,0,0,1,0,0,0,0
"45",0,0,1,0,0,0,0,1,0,1
"46",0,0,1,0,0,1,0,0,1,1
"47",1,0,0,0,0,0,0,1,1,1
"48",0,0,0,0,0,0,0,1,0,0
"49",1,0,0,1,0,0,1,1,1,0
"50",1,1,0,0,0,0,1,0,0,0
"51",1,1,0,1,0,1,0,0,0,0
"52",0,1,0,0,1,1,0,1,1,1
"53",0,0,0,1,1,0,1,0,0,1
"54",0,0,0,1,1,0,1,1,1,1
"55",0,1,1,0,0,0,1,1,0,0
"56",1,1,1,0,0,0,1,1,1,1
"57",1,0,1,0,1,1,0,1,1,0
"58",0,0,1,0,1,0,1,1,0,0
"59",0,0,0,1,1,0,1,0,1,1
"60",0,1,0,1,0,0,0,1,0,1
"61",0,1,0,1,0,1,1,1,1,0
"62",1,0,1,0,1,1,0,1,0,0
"63",0,1,1,1,0,0,1,1,1,1
"64",1,1,1,0,1,0,0,1,1,0
"65",0,0,1,1,0,0,1,1,1,0
"66",0,1,0,1,0,0,1,1,1,0
"67",1,0,1,0,1,1,1,1,0,1
"68",1,0,0,0,0,1,0,0,1,1
"69",0,1,0,0,1,0,0,0,1,1
"70",1,1,1,0,0,1,1,0,1,0
"71",1,1,0,1,1,1,1,1,0,0
"72",1,0,0,1,0,0,0,0,1,1
"73",0,1,0,1,0,0,0,1,1,0
"74",1,1,0,1,0,1,1,1,0,1
"75",1,1,1,1,1,0,1,1,1,1
"76",0,1,0,0,0,1,0,0,0,0
"77",1,1,1,0,0,0,0,0,1,1
"78",1,1,0,0,0,0,0,0,0,0
"79",0,0,1,0,0,1,1,1,1,1
"80",1,1,0,1,1,0,1,1,1,1
"81",0,1,1,0,0,0,1,0,0,1
"82",1,1,1,0,1,1,1,1,0,0
"83",0,1,0,1,1,0,0,1,1,1
"84",1,0,0,1,1,0,0,1,0,0
"85",1,0,1,1,0,1,0,1,0,1
"86",0,1,0,1,0,0,0,1,1,1
"87",0,0,0,1,1,1,1,0,1,0
"88",0,0,1,0,1,1,0,1,1,1
"89",1,1,0,1,1,0,1,1,0,0
"90",0,0,1,0,1,0,0,1,0,1
"91",0,1,0,1,0,1,0,0,1,0
"92",0,1,1,1,1,0,1,1,0,1
"93",1,0,0,0,0,1,1,1,0,1
"94",1,0,0,0,0,0,1,1,0,1
"95",0,0,1,0,1,1,1,1,0,1
"96",1,0,0,1,1,1,0,0,0,1
"97",0,1,0,0,1,1,1,0,0,1
"98",1,0,1,0,1,1,1,0,1,1
"99",0,0,0,1,0,1,1,0,1,1
"100",0,1,0,1,1,0,0,0,0,1
"101",1,1,0,1,1,0,0,1,0,1
"102",1,0,1,1,0,0,0,1,0,0
"103",1,0,0,0,0,0,1,0,1,1
"104",1,1,0,0,0,0,1,1,1,1
"105",0,0,1,1,0,1,1,1,0,1
"106",0,0,0,0,1,0,0,0,0,1
"107",1,0,1,1,0,1,0,0,1,1
"108",1,0,1,0,0,0,1,1,0,1
"109",1,1,0,0,1,1,0,1,1,1
"110",0,1,1,1,1,1,1,1,1,0
"111",1,1,0,0,1,0,1,0,0,1
"112",0,0,1,1,0,1,0,0,1,1
"113",1,0,1,0,1,0,0,0,0,1
"114",0,1,0,1,0,1,0,1,1,1
"115",1,1,1,1,1,0,1,1,0,1
"116",1,0,0,0,1,1,0,0,1,0
"117",1,0,1,0,1,1,1,0,0,0
"118",1,0,0,0,1,1,0,0,1,1
"119",1,1,0,1,1,1,0,0,0,1
"120",1,1,0,0,0,0,0,0,1,0
"121",0,1,0,0,0,0,1,1,1,0
"122",0,1,1,1,1,1,1,1,0,1
"123",1,1,1,1,0,1,0,1,0,0
"124",1,1,0,1,1,0,1,0,1,0
"125",0,0,0,0,1,1,1,1,1,1
"126",1,1,1,1,1,1,1,1,0,0
"127",1,1,1,1,0,0,1,0,1,0
"128",1,0,0,1,1,1,0,0,1,0
"129",0,0,0,1,1,1,1,0,1,1
"130",0,0,1,1,1,1,1,1,0,0
"131",0,1,0,0,0,1,0,0,0,1
"132",0,1,0,0,1,1,1,1,1,1
"133",0,0,1,1,1,0,0,1,0,1
"134",0,1,0,0,1,1,1,1,0,1
"135",1,1,1,1,0,0,0,0,1,0
"136",1,1,0,0,0,0,0,1,1,0
"137",1,1,0,1,0,0,1,0,0,0
"138",1,0,0,0,0,1,0,0,0,0
"139",0,0,1,1,0,1,1,0,1,1
"140",1,0,0,1,1,1,1,1,1,0
"141",0,1,0,0,0,0,0,0,0,1
"142",1,0,0,0,0,0,0,0,0,1
"143",0,0,1,1,0,0,1,0,0,1
"144",0,0,0,1,1,1,1,0,0,0
"145",0,1,1,1,0,1,0,0,1,0
"146",0,0,1,1,0,0,0,1,0,1
"147",1,1,1,0,0,0,1,0,1,1
"148",0,1,1,0,1,1,1,0,0,0
"149",1,0,1,1,0,0,0,0,1,0
"150",0,0,0,1,1,1,1,1,0,1
"151",0,0,0,0,0,0,0,1,1,1
"152",1,0,0,1,1,1,1,0,1,1
"153",1,0,0,1,0,1,1,1,1,0
"154",1,0,1,0,0,1,1,1,0,0
"155",0,0,0,1,1,1,1,0,1,1
"156",0,0,0,0,0,0,0,1,1,0
"157",0,1,0,0,0,0,0,1,1,1
"158",0,1,1,0,1,1,0,1,0,1
"159",1,1,1,0,0,1,1,0,1,0
"160",0,1,0,0,1,0,1,1,1,1
"161",1,0,0,1,1,1,0,1,0,1
"162",1,0,0,0,0,0,0,1,0,0
"163",1,1,0,1,0,0,1,1,1,1
"164",0,1,0,0,0,1,0,1,0,0
"165",1,1,1,1,1,1,0,1,1,1
"166",1,0,0,1,1,0,0,1,0,1
"167",0,1,0,0,0,0,1,0,0,0
"168",1,1,1,1,1,0,1,0,1,1
"169",1,1,0,0,1,1,0,1,1,0
"170",0,0,0,0,1,1,0,1,0,0
"171",0,1,0,0,1,1,0,0,1,1
"172",0,0,1,1,1,0,1,0,0,1
"173",1,1,0,0,1,1,0,1,0,1
"174",1,1,0,0,0,1,0,0,1,1
"175",1,0,0,0,1,1,0,0,1,0
"176",0,1,1,0,1,1,0,0,0,0
"177",0,0,1,1,0,0,0,0,0,1
"178",0,0,1,1,0,1,0,0,1,1
"179",0,0,1,0,0,1,0,0,1,1
"180",1,0,1,0,1,1,1,0,1,0
"181",0,1,0,1,1,1,0,1,1,1
"182",0,1,1,0,1,1,1,0,0,1
"183",1,0,1,0,1,0,1,1,1,0
"184",1,1,0,1,0,0,0,1,1,0
"185",1,0,1,1,1,1,1,1,0,0
"186",1,0,1,0,1,0,1,0,1,1
"187",0,1,0,1,0,1,1,1,0,1
"188",0,0,0,1,1,0,1,0,1,1
"189",0,0,1,0,0,0,0,1,0,1
"190",1,1,0,1,0,0,1,1,1,0
"191",0,0,0,0,1,0,1,1,1,1
"192",0,1,0,0,0,0,1,0,1,0
"193",1,0,1,0,0,1,1,0,0,1
"194",1,1,1,0,1,1,0,1,0,0
"195",0,0,0,0,0,1,1,1,1,0
"196",0,1,1,0,0,0,0,0,1,0
"197",1,0,1,0,0,0,0,1,0,1
"198",0,1,0,1,1,1,1,0,1,1
"199",1,0,0,1,0,1,0,0,1,0
"200",0,1,1,0,1,1,1,0,0,0
"201",1,0,0,1,1,1,0,0,1,1
"202",1,0,0,1,1,0,1,0,1,0
"203",0,1,1,1,1,1,0,0,0,0
"204",0,1,1,1,0,1,1,1,1,0
"205",0,0,1,1,1,0,0,1,0,0
"206",0,1,1,0,1,1,1,0,1,1
"207",1,1,0,1,1,0,1,0,1,0
"208",1,1,1,0,0,0,1,0,0,0
"209",0,0,1,0,1,1,1,1,1,0
"210",0,1,0,1,1,1,1,1,0,1
"211",0,1,0,0,1,0,1,0,0,0
"212",0,1,1,1,0,0,0,1,0,1
"213",0,1,1,1,1,1,1,0,1,0
"214",1,1,1,0,1,0,1,0,1,0
"215",0,1,1,1,1,0,1,1,1,0
"216",1,0,1,0,1,0,1,0,1,1
"217",0,1,0,1,1,0,0,0,1,1
"218",0,1,1,1,1,1,1,1,0,1
"219",0,0,1,0,0,1,1,0,1,1
"220",0,1,0,0,1,1,0,0,1,1
"221",1,0,1,1,1,1,1,1,0,0
"222",0,0,0,0,1,1,1,0,0,1
"223",0,0,1,0,1,0,1,0,1,1
"224",0,0,0,0,0,0,0,1,1,0
"225",0,0,0,0,0,0,1,0,1,1
"226",0,1,0,1,1,0,0,0,1,1
"227",1,0,1,0,0,0,0,1,1,1
"228",0,1,1,0,1,0,1,1,1,1
"229",0,1,1,0,1,0,1,0,1,1
"230",1,1,0,0,1,1,0,1,0,0
"231",1,1,0,1,0,0,0,1,1,1
"232",0,0,0,1,1,0,0,1,0,0
"233",1,0,1,1,1,0,0,1,1,0
"234",1,1,1,0,1,1,1,0,1,0
"235",0,1,1,0,1,1,1,1,1,1
"236",1,1,1,0,1,1,1,1,1,1
"237",0,1,0,0,0,0,0,0,1,1
"238",0,0,1,1,1,0,0,1,1,1
"239",0,0,1,0,0,1,1,0,1,0
"240",0,0,1,1,1,1,0,1,0,1
"241",0,1,1,0,0,1,1,0,0,0
"242",1,1,1,0,1,1,1,0,1,0
"243",0,1,0,0,1,0,0,0,0,0
"244",0,1,1,1,0,1,1,0,0,0
"245",1,1,0,1,0,1,0,0,0,1
"246",1,0,1,0,1,0,1,0,0,1
"247",0,0,1,1,0,1,0,0,1,0
"248",1,0,1,1,0,0,1,1,1,0
"249",1,0,1,0,0,1,1,1,0,1
"250",0,0,1,1,0,0,0,0,0,0
"251",1,1,0,1,1,0,1,1,1,0
"252",0,0,0,0,0,0,1,0,1,0
"253",1,1,1,1,0,0,0,1,0,1
"254",1,1,0,1,0,0,1,0,0,1
"255",1,0,0,0,0,0,1,1,0,0
"256",0,0,1,0,1,1,0,0,1,1
"257",0,1,1,1,1,0,0,0,0,1
"258",1,0,1,1,0,1,0,0,0,1
"259",0,1,1,0,1,1,1,1,0,0
"260",0,1,0,1,0,0,1,1,1,1
